NAME,Bow 2007,Early 2007,Muzzleloader 2007,Rifle 2007,2007 Total,Bow 2008,Early 2008,Muzzleloader 2008,Rifle 2008,2008 Total,Bow 2009,Early 2009,Muzzleloader 2009,Rifle 2009,Unknown 2009 ,2009 Total,Bow 2010,Early 2010,Muzzleloader 2010,Rifle 2010 ,2010 Total,Bow 2011,Early 2011 ,Muzzleloader 2011 ,Rifle 2011,2011 Total,Bow 2012,Early 2012,Muzzleloader 2012,Rifle 2012,2012 Total,Bow 2013,Early 2013,Muzzleloader 2013,Rifle 2013,2013 Total,Bow 2014,Early 2014,Muzzleloader 2014,Rifle 2014,2014 Total,Bow 2015,Early 2015,Muzzleloader 2015,Rifle 2015 ,2015 Total,Bow 2016,Early 2016,Muzzleloader 2016,Rifle 2016,Unknown 2016,2016 Total,Bow 2017,Early 2017,Muzzleloader 2017,Rifle 2017,Unknown 2017,2017 Total,Bow 2018,Early 2018,Muzzleloader 2018,Rifle 2018,Unknown 2018,2018 Total,Bow 2019,Early 2019,Muzzleloader 2019 ,Rifle 2019,Unknown 2019,2019 Total,Bow 2020,Early 2020,Muzzleloader 2020,Rifle 2020,Unknown 2020,2020 Total,Bow 2021,Early 2021,Muzzleloader 2021,Rifle 2021,Unknown 2021,2021 Total,Bow 2022,Early 2022,Muzzleloader 2022,Rifle 2022,Unknown 2022,Grand Total
Altamont,0,3,0,1,4,0,0,0,6,6,0,4,0,1,0,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Altona,0,4,1,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,3,1,0,1,0,0,2,0,2,1,2,0,5,0,0,0,2,0,2,0,0,0,1,0,30
Amenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,0,4,2,0,0,0,0,2,1,0,0,0,0,1,2,0,0,1,0,3,5,0,0,2,0,7,1,0,0,0,0,24
Amity,0,0,0,1,1,0,0,0,1,1,3,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,2,0,0,0,0,2,1,0,0,0,0,1,2,0,0,3,0,5,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,24
Amsterdam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Ancram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,2,4,0,0,0,0,4,0,0,0,1,0,1,5,0,1,2,0,8,2,0,0,1,0,3,2,0,0,0,0,24
Andes,1,0,0,0,1,1,0,0,2,3,3,0,0,4,0,7,3,0,0,1,4,1,0,0,6,7,3,0,0,4,7,2,0,0,7,9,2,8,0,4,14,1,5,0,7,13,3,10,0,6,0,19,2,2,0,2,0,6,1,6,0,1,0,8,1,5,0,2,0,8,4,9,0,3,0,16,1,3,0,8,0,12,4,4,0,1,0,143
Andover,1,0,0,1,2,2,0,1,2,5,0,0,0,1,0,1,3,0,0,0,3,0,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,3,4,1,0,0,1,0,2,1,0,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,1,0,2,1,0,0,0,0,32
Angelica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,0,2,2,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,2,0,0,1,0,3,1,0,0,0,0,15
Annsville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Antwerp,0,0,0,8,8,0,1,0,4,5,0,0,0,2,0,2,0,0,0,5,5,0,1,0,6,7,0,2,0,4,6,0,0,0,4,4,0,5,0,0,5,4,1,2,1,8,1,0,0,2,0,3,6,1,0,3,0,10,0,2,0,3,0,5,4,1,1,6,0,12,3,2,0,2,0,7,2,0,1,6,0,9,1,0,2,3,0,102
Arcadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Argyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Arietta,1,2,0,0,3,0,2,0,13,15,0,1,0,6,0,7,0,1,1,1,3,0,0,0,6,6,0,0,0,1,1,0,0,1,8,9,0,1,0,2,3,1,1,0,1,3,1,0,0,2,0,3,0,0,0,6,0,6,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,6,0,6,0,0,0,1,0,69
Arkwright,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,2,3,0,0,0,1,1,3,0,0,0,3,1,0,0,0,0,1,1,0,0,1,0,2,1,0,1,0,0,2,0,0,0,1,0,1,2,0,0,1,0,3,2,0,1,1,0,4,1,0,0,0,0,25
Ashford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,3,0,5,0,0,0,0,0,13
Ashland,1,0,0,5,6,1,0,0,7,8,1,0,0,2,0,3,2,0,0,0,2,2,0,0,1,3,2,0,0,1,3,0,0,0,4,4,2,1,0,2,5,1,2,0,4,7,1,0,0,3,0,4,1,0,0,3,0,4,3,3,0,2,1,9,0,2,0,4,0,6,4,0,0,1,0,5,2,0,0,3,0,5,1,3,0,2,0,80
Athens,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ausable,0,0,2,2,4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,5,0,1,6,0,0,0,1,1,0,0,0,0,0,1,4,0,0,5,1,5,0,0,0,6,0,0,0,0,0,0,1,5,0,0,0,6,1,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,34
Austerlitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,3,0,0,0,0,3,2,0,0,2,0,4,1,0,0,0,0,1,0,0,0,1,0,15
Ava,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
Avoca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,3,1,0,0,0,0,1,2,0,1,2,0,5,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,16
Avon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2
Bainbridge,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Baldwin,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
Ballston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Bangor,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,8
Barker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Barre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barrington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2
Barton,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15
Bath,1,0,1,1,3,1,0,0,2,3,1,0,0,4,0,5,1,0,0,0,1,1,0,0,6,7,3,0,0,4,7,0,0,0,4,4,0,0,0,3,3,3,0,0,2,5,1,0,0,2,0,3,2,0,0,1,0,3,2,0,0,1,0,3,1,0,0,4,0,5,3,0,0,2,0,5,2,0,0,5,0,7,2,0,0,4,0,70
Beacon City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Beekman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3
Beekmantown,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Belfast,1,0,0,1,2,1,0,0,1,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,3,4,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,0,2,1,0,0,0,0,1,1,0,0,1,0,24
Bellmont,0,0,0,2,2,0,0,1,4,5,0,4,0,0,0,4,1,2,2,0,5,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,5,5,0,1,3,1,5,0,2,0,0,0,2,0,3,1,4,0,8,1,2,0,2,0,5,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,9,0,9,0,0,0,2,0,57
Bennington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Benson,0,4,0,1,5,0,0,1,3,4,0,6,1,0,0,7,1,2,0,1,4,0,0,0,1,1,0,3,0,0,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,1,2,0,4,0,0,1,3,0,4,0,1,0,2,0,3,0,0,0,4,0,4,0,0,0,2,0,47
Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,1,2,0,0,0,3,3,0,0,0,3,3,1,0,0,1,2,0,0,0,0,0,0,1,0,1,7,0,9,2,0,0,0,0,2,1,0,0,2,0,3,3,0,0,4,0,7,0,0,0,2,0,2,2,0,0,1,0,39
Berne,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,2,2,0,0,0,1,1,1,0,0,4,5,0,0,0,2,2,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,2,1,0,0,2,0,3,1,0,0,1,0,2,2,0,0,1,0,3,0,0,0,1,0,1,0,0,0,2,0,28
Bethel,2,0,0,9,11,3,0,0,5,8,4,0,0,3,0,7,3,0,0,2,5,6,0,0,3,9,6,0,0,0,6,3,0,0,4,7,0,2,0,2,4,1,1,0,8,10,2,5,0,0,0,7,4,1,0,5,0,10,1,2,0,1,0,4,4,4,0,4,0,12,5,11,0,3,0,19,2,3,0,6,0,11,6,7,0,0,0,143
Bethlehem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,7
Big Flats,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,4,4,1,0,0,1,2,0,0,0,1,1,1,0,0,1,2,1,0,0,1,0,2,2,0,0,1,0,3,1,0,0,2,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,28
Binghamton,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,6
Birdsall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,10
Black Brook,0,1,0,2,3,2,0,1,6,9,2,7,1,1,0,11,0,2,0,2,4,0,0,0,3,3,0,5,1,3,9,0,0,1,3,4,0,4,0,0,4,0,3,2,6,11,1,5,3,1,0,10,0,0,0,2,0,2,0,5,1,4,0,10,0,2,0,3,0,5,1,1,1,3,0,6,0,0,0,2,0,2,0,0,0,7,0,100
Bleecker,0,0,1,2,3,0,0,0,2,2,0,3,2,3,0,8,0,0,0,2,2,0,1,0,0,1,0,2,0,2,4,0,1,0,2,3,0,3,0,2,5,0,1,2,2,5,0,1,0,1,0,2,0,0,0,2,0,2,0,0,0,1,0,1,0,1,0,1,0,2,0,1,1,5,0,7,0,0,0,2,0,2,0,0,0,3,0,52
Blenheim,0,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,3,0,0,2,0,5,1,0,0,3,0,4,1,0,0,3,0,4,1,0,0,1,0,2,0,0,0,1,0,1,5,0,0,0,0,5,1,0,0,1,0,35
Blooming Grove,0,0,0,1,1,2,0,0,0,2,0,0,0,4,0,4,0,0,0,0,0,3,0,0,1,4,2,0,0,0,2,0,0,0,3,3,1,1,0,2,4,0,0,0,1,1,1,0,0,1,0,2,2,0,0,2,0,4,4,0,0,0,0,4,1,1,0,1,0,3,0,0,0,1,0,1,1,1,0,3,0,5,0,0,0,0,0,40
Bolivar,0,0,0,2,2,2,0,1,1,4,1,0,0,1,0,2,3,0,0,0,3,1,0,0,4,5,0,0,0,4,4,2,0,0,2,4,1,0,1,5,7,0,0,0,0,0,2,0,0,2,0,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,42
Bolton,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,1,2,0,1,0,1,2,1,0,1,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,5,0,0,0,1,0,1,1,2,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,26
Bombay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,3
Boonville,0,0,0,1,1,0,0,0,1,1,0,7,0,1,0,8,0,1,1,0,2,0,0,0,1,1,0,0,0,2,2,0,0,0,1,1,0,2,0,0,2,0,2,3,3,8,0,2,0,2,0,4,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,1,0,1,1,7,0,1,0,9,0,0,0,0,0,0,0,0,2,5,0,50
Boston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bovina,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,1,0,0,2,3,0,0,0,0,0,1,1,0,0,2,1,0,0,3,4,0,2,0,0,0,2,0,4,0,4,0,8,0,0,0,1,0,1,1,0,0,1,0,2,1,3,0,1,0,5,0,0,0,0,0,0,0,2,0,2,0,35
Boylston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Bradford,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4
Brandon,0,5,0,0,5,0,0,0,2,2,0,5,0,0,0,5,0,2,0,0,2,0,1,0,1,2,0,6,0,0,6,0,0,0,4,4,0,0,0,0,0,2,1,0,0,3,0,6,1,0,0,7,0,2,1,1,0,4,0,1,0,0,0,1,0,2,0,0,0,2,0,3,0,0,0,3,0,0,0,7,0,7,0,0,0,6,0,59
